id,game_id,value,external_popularity_source
3091237,17762,0.0,Steam
3609308,17762,9.85945771e-07,Steam
4357831,17811,3.119443491e-06,IGDB
3930672,17811,1.569792175e-06,IGDB
2493460,17811,0.0,Steam
3609866,17811,1.251584357e-06,Steam
685391,17811,1.127650807e-06,Steam
3610009,17811,1.234155895e-06,Steam
3504355,17853,1.0918052219e-05,IGDB
103159,17853,6.279168701e-06,IGDB
3787187,17853,0.0,Steam
4766243,17853,3.738890821e-06,IGDB
3789294,17853,3.509415365e-06,Steam
3787670,17853,4.461574931e-06,Steam
3787965,17853,3.35360424e-06,Steam
3609233,17952,2.455030855e-06,Steam
3504395,17952,1.0918052219e-05,IGDB
103197,17952,1.4128129577e-05,IGDB
3091238,17952,1.83175781e-07,Steam
3093656,17952,8.236753719e-06,Steam
3609336,17952,3.268099967e-06,Steam
3504687,18406,4.679165237e-06,IGDB
3187231,18406,0.0,Steam
3192202,18406,4.608659819e-06,Steam
3609327,18406,2.254575293e-06,Steam
3609212,18406,1.869353559e-06,Steam
3880262,18623,0.000340239064679,IGDB
4614,18623,4.7194298929e-05,IGDB
3504813,18623,2.0276382693e-05,IGDB
103656,18623,7.848960876e-06,IGDB
2486353,18623,1.83175781e-07,Steam
665300,18623,7.746470759e-06,Steam
3595927,18623,2.282154196e-06,Steam
3595723,18623,1.38797496e-06,Steam
3988418,18827,7.84896088e-07,IGDB
3935497,18827,9.38688268e-07,Steam
3935001,18827,1.83175781e-07,Steam
3936775,18827,1.421820582e-06,Steam
3931957,18827,1.006629948e-06,Steam
3505060,19015,7.798608728e-06,IGDB
103926,19015,4.709376526e-06,IGDB
2486342,19015,0.0,Steam
659015,19015,6.177565289e-06,Steam
3595883,19015,4.48846641e-06,Steam
3595677,19015,4.212062741e-06,Steam
3505201,19321,4.679165237e-06,IGDB
104123,19321,1.569792175e-06,IGDB
104252,19499,7.84896088e-07,IGDB
684869,19499,1.176679103e-06,Steam
2493954,19499,0.0,Steam
3611064,19499,3.53010973e-07,Steam
3611212,19499,4.68841345e-07,Steam
4846,19728,7.5510878286e-05,IGDB
3505446,19728,7.3306922045e-05,IGDB
104417,19728,3.7675012205e-05,IGDB
3187267,19728,1.099054685e-06,Steam
4109759,19728,1.1216672462e-05,IGDB
3192289,19728,9.756630893e-06,Steam
3609201,19728,2.8433429247e-05,Steam
3609322,19728,2.5806958175e-05,Steam
4751739,20394,3.738890821e-06,IGDB
3505840,20394,7.798608728e-06,IGDB
980299,20394,7.84896088e-07,IGDB
2493525,20394,1.83175781e-07,Steam
3609860,20394,3.867074745e-06,Steam
659965,20394,5.981452105e-06,Steam
3610001,20394,4.164414303e-06,Steam
4530203,20460,1.559721746e-06,IGDB
104923,20460,1.569792175e-06,IGDB
2493628,20460,1.83175781e-07,Steam
686829,20460,2.402386501e-06,Steam
3610591,20460,1.378945134e-06,Steam
3610434,20460,1.211469474e-06,Steam
4836021,21961,4.8256458e-08,Twitch
3506634,21961,1.4037495711e-05,IGDB
105793,21961,3.13958435e-06,IGDB
5199,22362,9.438859786e-06,IGDB
3506784,22362,3.119443491e-06,IGDB
105971,22362,3.924480438e-06,IGDB
684446,22362,4.90282959e-07,Steam
3610624,22362,3.44987996e-07,Steam
2493942,22362,0.0,Steam
3610778,22362,3.6542046e-07,Steam
4580819,23188,4.8256458e-08,Twitch
4827849,23188,3.738890821e-06,IGDB
5316,23188,2.8316579357e-05,IGDB
3507170,23188,4.2112487132e-05,IGDB
106455,23188,2.8256259154e-05,IGDB
3609284,23188,2.3106172751e-05,Steam
3609389,23188,2.2028648509e-05,Steam
2970185,23188,1.5443913223e-05,Steam
2975516,23188,1.282230466e-06,Steam
3507609,24334,6.238886983e-06,IGDB
106959,24334,4.709376526e-06,IGDB
3936772,24334,8.33481031e-07,Steam
3935004,24334,0.0,Steam
3931961,24334,8.68735434e-07,Steam
3935504,24334,8.74504455e-07,Steam
3507656,24441,1.4037495711e-05,IGDB
107012,24441,3.13958435e-06,IGDB
3931984,24441,5.695043402e-06,Steam
3935030,24441,1.282230466e-06,Steam
3936818,24441,8.776064974e-06,Steam
3935545,24441,5.190865892e-06,Steam
4571307,24545,7.84896088e-07,IGDB
3610731,24545,3.61033949e-07,Steam
684452,24545,1.225707399e-06,Steam
2493990,24545,0.0,Steam
3610885,24545,4.82630797e-07,Steam
3988436,24594,1.569792175e-06,IGDB
3610318,24594,3.20919066e-07,Steam
2493900,24594,0.0,Steam
684498,24594,4.755744707e-06,Steam
3610475,24594,9.44577417e-07,Steam
4088764,24626,4.679165237e-06,IGDB
107088,24626,1.569792175e-06,IGDB
3610008,24626,9.10103788e-07,Steam
683971,24626,1.323763991e-06,Steam
2493187,24626,0.0,Steam
3609867,24626,8.42412548e-07,Steam
3508040,25452,1.559721746e-06,IGDB
3610808,25452,3.44736283e-07,Steam
692901,25452,3.43198072e-07,Steam
3610667,25452,3.44987996e-07,Steam
2493902,25452,3.66351562e-07,Steam
4088777,25475,3.119443491e-06,IGDB
3842108,25475,2.354688263e-06,IGDB
2493372,25475,5.49527342e-07,Steam
4705612,25475,3.738890821e-06,IGDB
3610165,25475,2.856179687e-06,Steam
655926,25475,2.696556277e-06,Steam
3610320,25475,2.83373225e-06,Steam
2493498,25477,0.0,Steam
3988441,25477,1.569792175e-06,IGDB
3609858,25477,5.69631342e-07,Steam
682468,25477,1.470848878e-06,Steam
3609999,25477,6.96367292e-07,Steam
3609402,25604,6.06735859e-07,Steam
3930687,25604,7.84896088e-07,IGDB
2970218,25604,1.078622511e-06,Steam
2975534,25604,0.0,Steam
3609303,25604,5.29516459e-07,Steam
3981198,25813,1.559721746e-06,IGDB
4581693,26363,0.0,Twitch
5675,26363,9.438859786e-06,IGDB
3508397,26363,3.7433321895e-05,IGDB
